Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany,EmployeeType,TenureOfEmployee,GradeOfEmployee,LeaveCount_wellnessOfEmployee,yearsOfEmployeement
26,No,Sales,23,3,Marketing,3,4,Married,4157,7,2,2,Temp,3,D,22,17
33,No,Research & Development,1,2,Life Sciences,1,4,Single,13458,1,3,15,Permanent,3,D,23,10
35,No,Sales,18,5,Life Sciences,2,1,Married,9069,1,2,9,Permanent,20,C,30,4
35,No,Research & Development,23,4,Medical,3,1,Married,4014,3,3,2,Permanent,14,B,15,4
31,No,Research & Development,7,4,Life Sciences,4,4,Divorced,5915,3,2,7,Permanent,19,A,13,11
37,No,Research & Development,1,4,Life Sciences,1,3,Divorced,5993,1,4,7,Permanent,25,C,19,11
32,No,Research & Development,1,3,Medical,1,4,Married,6162,1,3,9,Temp,15,C,2,9
38,No,Research & Development,29,5,Life Sciences,4,4,Single,2406,1,3,10,Permanent,17,D,29,11
50,No,Research & Development,7,2,Medical,2,3,Divorced,18740,5,2,27,Temp,6,A,12,6
59,No,Sales,25,3,Life Sciences,1,1,Single,7637,7,2,21,Permanent,6,A,15,9
36,No,Research & Development,8,3,Technical Degree,3,3,Divorced,10096,1,3,17,Permanent,10,B,12,2
55,No,Research & Development,8,3,Medical,4,3,Divorced,14756,2,3,5,Permanent,8,D,10,5
36,No,Research & Development,11,3,Life Sciences,2,2,Single,6499,1,3,6,Temp,14,D,25,2
45,No,Research & Development,7,3,Life Sciences,2,1,Divorced,9724,2,3,1,Temp,6,D,16,9
35,No,Research & Development,1,3,Medical,2,1,Married,2194,4,2,3,Permanent,20,A,7,14
36,Yes,Research & Development,9,3,Medical,4,3,Married,3388,0,2,1,Permanent,18,D,27,3
59,No,Sales,1,1,Life Sciences,1,3,Single,5473,7,2,4,Permanent,13,A,14,8
29,No,Research & Development,2,3,Life Sciences,3,2,Married,2703,0,3,5,Permanent,16,C,8,6
31,No,Research & Development,1,4,Medical,3,2,Single,2501,1,3,1,Temp,10,C,15,11
32,No,Research & Development,1,3,Life Sciences,2,2,Married,6220,1,3,10,Permanent,6,B,4,7
36,No,Research & Development,6,3,Life Sciences,2,4,Married,3038,3,3,1,Temp,22,C,29,3
31,No,Research & Development,8,4,Life Sciences,3,4,Single,4424,1,3,11,Permanent,25,D,2,2
35,No,Sales,1,4,Marketing,3,1,Single,4312,0,3,15,Permanent,15,B,9,1
45,No,Research & Development,6,4,Other,4,1,Married,13245,4,4,0,Permanent,24,D,29,12
37,No,Research & Development,7,4,Medical,1,3,Single,13664,4,4,5,Permanent,4,D,17,9
46,No,Human Resources,5,2,Medical,2,2,Divorced,5021,8,3,4,Permanent,10,D,6,12
30,No,Research & Development,1,1,Life Sciences,4,4,Married,5126,1,2,10,Temp,25,D,30,9
35,No,Research & Development,1,3,Medical,2,3,Single,2859,1,3,6,Temp,4,B,27,5
55,No,Sales,1,2,Life Sciences,1,4,Married,10239,3,3,1,Permanent,11,C,13,5
38,No,Research & Development,6,3,Medical,2,4,Divorced,5329,7,3,13,Permanent,18,A,29,8
34,No,Research & Development,1,2,Medical,1,2,Married,4325,1,3,5,Permanent,6,B,29,3
56,No,Research & Development,7,3,Life Sciences,4,4,Single,7260,4,2,6,Permanent,12,A,12,11
23,No,Sales,2,1,Technical Degree,3,1,Divorced,2322,3,3,0,Temp,4,B,24,11
51,No,Research & Development,9,4,Life Sciences,4,4,Married,2075,3,3,4,Permanent,24,A,19,9
30,No,Research & Development,2,3,Life Sciences,3,4,Married,4152,1,3,11,Permanent,9,C,17,10
46,Yes,Sales,9,2,Medical,3,4,Single,9619,1,3,9,Temp,2,D,22,9
40,No,Research & Development,1,4,Life Sciences,3,2,Married,13503,1,2,22,Permanent,24,C,21,7
51,No,Sales,21,4,Marketing,3,4,Single,5441,0,1,10,Permanent,17,A,18,2
30,No,Sales,4,2,Medical,3,2,Divorced,5209,1,2,11,Temp,14,D,27,7
46,No,Research & Development,1,3,Medical,3,1,Married,10673,2,2,10,Permanent,9,D,12,9
32,No,Sales,6,4,Medical,2,3,Single,5010,1,3,11,Permanent,21,D,10,9
54,No,Research & Development,2,4,Technical Degree,1,3,Married,13549,9,1,4,Permanent,6,A,0,19
24,No,Sales,3,2,Other,1,3,Married,4999,0,2,3,Temp,12,D,16,6
28,No,Sales,4,3,Medical,2,3,Married,4221,1,4,5,Temp,18,A,3,4
58,No,Sales,10,4,Medical,4,3,Single,13872,0,2,37,Temp,18,D,5,9
44,No,Research & Development,23,3,Medical,2,2,Married,2042,4,4,3,Permanent,25,A,4,11
37,Yes,Human Resources,6,4,Human Resources,3,1,Divorced,2073,4,3,3,Permanent,23,B,5,10
32,No,Research & Development,1,1,Life Sciences,4,1,Single,2956,1,3,1,Permanent,25,A,12,3
20,Yes,Research & Development,6,3,Life Sciences,4,4,Single,2926,1,3,1,Permanent,6,B,21,10
34,No,Research & Development,6,4,Other,1,3,Single,4809,1,3,16,Permanent,17,D,22,4
37,No,Research & Development,2,2,Life Sciences,3,4,Divorced,5163,5,4,1,Permanent,21,D,10,11
59,No,Human Resources,2,4,Human Resources,3,4,Married,18844,9,3,3,Temp,10,B,11,12
50,No,Research & Development,1,3,Life Sciences,1,2,Married,18172,3,2,8,Permanent,19,B,10,13
25,Yes,Sales,5,3,Marketing,3,3,Single,5744,1,3,6,Permanent,19,B,4,11
25,No,Research & Development,7,1,Medical,4,4,Married,2889,1,3,2,Permanent,14,D,27,7
22,No,Research & Development,15,3,Medical,2,4,Single,2871,1,3,0,Permanent,24,D,5,5
51,No,Research & Development,1,4,Medical,1,1,Single,7484,3,2,13,Permanent,23,A,0,10
34,Yes,Research & Development,7,3,Life Sciences,1,3,Single,6074,1,3,9,Permanent,18,B,17,1
54,No,Human Resources,26,3,Human Resources,4,4,Single,17328,2,3,5,Permanent,5,A,27,10
24,No,Research & Development,18,1,Life Sciences,2,3,Married,2774,0,3,5,Permanent,8,D,9,0
34,No,Research & Development,6,4,Life Sciences,3,2,Divorced,4505,6,3,1,Permanent,25,C,23,12
37,No,Sales,3,3,Life Sciences,3,4,Single,7428,2,3,5,Permanent,22,C,20,10
34,No,Research & Development,5,3,Medical,3,1,Single,11631,2,3,11,Permanent,9,B,22,12
36,No,Sales,11,2,Technical Degree,2,4,Married,9738,0,3,9,Temp,16,C,23,6
36,No,Research & Development,3,2,Life Sciences,1,4,Divorced,2835,5,3,1,Temp,7,C,27,10
43,No,Sales,26,2,Life Sciences,3,4,Married,16959,1,4,25,Permanent,21,B,27,9
30,No,Research & Development,23,3,Life Sciences,1,3,Divorced,2613,1,2,10,Permanent,20,C,5,6
33,No,Sales,22,2,Marketing,3,2,Married,6146,0,4,7,Permanent,5,C,6,5
56,Yes,Research & Development,14,4,Life Sciences,2,2,Married,4963,9,3,5,Permanent,19,B,17,17
51,No,Research & Development,6,3,Life Sciences,1,3,Single,19537,7,3,20,Temp,14,A,13,16
31,Yes,Sales,6,4,Life Sciences,2,3,Married,6172,4,2,7,Permanent,8,A,24,5
26,No,Research & Development,6,3,Other,3,2,Married,2368,1,2,5,Permanent,14,B,6,4
58,Yes,Research & Development,23,4,Medical,4,4,Married,10312,1,2,40,Permanent,16,C,24,7
19,Yes,Sales,22,1,Marketing,4,3,Single,1675,1,2,0,Permanent,12,C,27,6
22,No,Research & Development,2,1,Technical Degree,3,4,Married,2523,0,3,2,Temp,14,C,5,10
49,No,Research & Development,20,4,Medical,3,1,Married,6567,1,2,15,Permanent,8,A,13,9
43,No,Research & Development,28,3,Medical,2,3,Single,4739,4,3,3,Permanent,19,D,5,8
50,No,Sales,12,3,Marketing,3,4,Single,9208,4,3,2,Temp,6,D,15,7
31,Yes,Sales,20,3,Life Sciences,2,3,Married,4559,3,3,2,Permanent,19,A,1,13
41,No,Sales,9,1,Life Sciences,3,3,Divorced,8189,3,3,9,Temp,3,C,7,6
26,No,Human Resources,25,1,Life Sciences,3,3,Married,2942,1,3,8,Temp,21,D,27,10
36,No,Research & Development,6,2,Medical,2,2,Divorced,4941,6,3,3,Temp,11,B,23,11
51,Yes,Research & Development,8,4,Life Sciences,1,4,Single,10650,2,3,4,Temp,9,B,16,4
39,No,Sales,4,4,Life Sciences,4,3,Married,5902,4,4,15,Permanent,24,B,10,11
25,No,Sales,28,3,Life Sciences,1,3,Married,8639,2,3,2,Permanent,8,C,22,8
30,No,Human Resources,9,3,Human Resources,3,4,Married,6347,0,1,11,Permanent,22,B,12,6
32,Yes,Research & Development,9,3,Medical,1,1,Single,4200,7,4,5,Temp,4,A,6,9
45,No,Research & Development,29,3,Medical,3,4,Single,3452,5,2,6,Permanent,3,C,13,7
38,No,Research & Development,3,5,Technical Degree,4,3,Single,4317,3,3,3,Temp,10,C,21,9
30,No,Research & Development,18,3,Life Sciences,1,3,Single,2632,1,2,5,Temp,10,A,16,4
32,No,Sales,9,2,Medical,4,4,Divorced,4668,0,4,8,Temp,9,A,9,8
30,No,Research & Development,5,3,Technical Degree,4,1,Divorced,3204,5,3,3,Permanent,5,B,10,6
30,No,Research & Development,2,1,Medical,2,4,Single,2720,0,3,5,Permanent,2,B,1,2
41,No,Research & Development,10,3,Life Sciences,4,1,Divorced,17181,4,2,7,Temp,18,B,6,5
41,No,Research & Development,9,4,Life Sciences,3,1,Married,2238,2,3,5,Permanent,19,B,1,8
19,No,Research & Development,3,1,Medical,2,2,Single,1483,1,3,1,Temp,9,D,7,1
40,No,Research & Development,26,3,Medical,2,2,Divorced,5605,1,3,20,Temp,22,B,26,1
35,No,Sales,1,5,Marketing,3,2,Married,7295,1,3,10,Permanent,14,A,7,8
53,No,Sales,6,2,Marketing,2,3,Married,2306,2,1,7,Permanent,22,C,7,6
45,No,Research & Development,9,3,Life Sciences,2,2,Divorced,2348,8,1,17,Permanent,10,B,29,8
32,No,Sales,8,3,Marketing,2,4,Single,8998,1,3,9,Temp,10,C,25,1
29,No,Research & Development,1,1,Technical Degree,4,3,Married,4319,1,3,10,Temp,24,C,8,11
51,No,Research & Development,7,4,Medical,2,3,Married,6132,2,3,1,Temp,4,C,13,12
58,No,Research & Development,9,3,Medical,2,2,Married,3346,4,2,1,Temp,9,D,3,12
40,No,Sales,4,4,Marketing,3,4,Married,10855,7,2,12,Permanent,4,B,19,17
34,No,Sales,2,4,Marketing,3,3,Married,2231,6,3,4,Temp,25,A,1,6
22,No,Research & Development,19,1,Medical,3,4,Married,2323,1,3,2,Permanent,19,C,0,1
27,No,Research & Development,9,3,Medical,4,2,Divorced,2024,6,1,2,Temp,22,C,3,9
28,No,Research & Development,21,3,Medical,3,4,Married,2713,1,1,5,Permanent,12,B,24,1
57,No,Research & Development,24,2,Life Sciences,3,4,Divorced,9439,3,1,5,Permanent,9,B,9,9
27,No,Research & Development,3,3,Medical,3,3,Divorced,2566,1,2,1,Permanent,7,D,16,5
50,No,Research & Development,11,3,Life Sciences,3,2,Single,19926,3,3,5,Temp,9,D,12,3
41,No,Research & Development,14,3,Life Sciences,1,3,Divorced,2451,4,3,9,Permanent,11,B,10,6
30,No,Sales,5,3,Life Sciences,2,4,Married,9419,2,3,10,Temp,21,D,29,8
38,No,Sales,1,4,Life Sciences,1,4,Single,8686,4,4,8,Permanent,16,D,12,8
32,No,Research & Development,6,5,Life Sciences,3,3,Single,3038,3,3,5,Permanent,21,B,30,11
27,No,Research & Development,17,3,Technical Degree,3,2,Married,3058,0,2,5,Permanent,22,B,17,9
19,Yes,Sales,1,1,Technical Degree,3,1,Single,2325,0,4,0,Permanent,11,C,8,6
36,No,Research & Development,3,2,Medical,4,2,Single,2088,4,2,8,Permanent,11,C,12,6
30,No,Research & Development,9,3,Medical,3,1,Divorced,3072,1,3,12,Permanent,21,B,8,3
45,No,Sales,4,2,Life Sciences,3,1,Divorced,5006,4,4,5,Temp,8,C,13,4
56,No,Research & Development,8,3,Life Sciences,3,1,Divorced,4257,4,3,2,Permanent,15,D,20,8
33,No,Research & Development,2,3,Life Sciences,3,4,Single,2500,0,4,3,Permanent,14,A,19,5
19,Yes,Research & Development,2,3,Life Sciences,2,4,Single,1102,1,2,1,Permanent,16,D,23,11
46,No,Sales,1,2,Marketing,2,1,Divorced,10453,1,3,24,Permanent,2,C,1,6
38,No,Research & Development,9,2,Life Sciences,3,4,Single,2288,1,3,2,Permanent,25,A,28,9
31,No,Research & Development,12,1,Medical,3,4,Married,3929,8,3,4,Temp,15,A,11,12
34,No,Research & Development,27,2,Medical,4,2,Single,2311,2,3,3,Temp,22,A,23,10
41,Yes,Sales,20,2,Marketing,2,2,Single,3140,1,2,4,Permanent,10,A,27,9
50,No,Research & Development,1,3,Medical,3,3,Married,3690,2,2,3,Temp,15,C,18,8
53,No,Research & Development,13,2,Medical,4,1,Divorced,4450,1,3,4,Permanent,9,A,3,4
33,No,Research & Development,14,3,Medical,4,2,Married,2756,1,3,8,Permanent,3,C,12,8
40,No,Research & Development,4,1,Medical,4,3,Married,19033,1,3,20,Temp,6,C,18,7
55,No,Research & Development,14,4,Medical,3,2,Single,18722,8,3,24,Permanent,19,C,15,11
34,No,Research & Development,2,1,Life Sciences,4,3,Married,9547,1,2,10,Permanent,3,D,23,7
51,No,Research & Development,3,3,Medical,4,2,Single,13734,3,3,7,Permanent,12,C,12,5
52,No,Research & Development,1,4,Life Sciences,3,3,Married,19999,0,3,33,Permanent,24,A,19,7
27,No,Research & Development,9,3,Medical,4,2,Single,2279,1,2,7,Temp,3,D,2,5
35,Yes,Research & Development,23,2,Life Sciences,2,3,Married,5916,3,3,1,Temp,3,B,25,13
43,No,Research & Development,7,3,Medical,4,4,Divorced,2089,4,4,5,Temp,8,D,11,5
45,No,Research & Development,2,2,Medical,1,4,Married,16792,9,3,20,Permanent,8,D,28,12
37,No,Research & Development,21,3,Life Sciences,2,1,Married,3564,1,2,8,Permanent,11,C,12,7
35,No,Research & Development,2,3,Medical,2,2,Single,4425,5,3,6,Permanent,15,B,23,8
42,No,Research & Development,21,2,Medical,3,3,Divorced,5265,2,3,5,Permanent,16,B,0,12
38,No,Research & Development,2,4,Life Sciences,4,3,Married,6553,9,3,1,Permanent,7,B,10,11
38,No,Research & Development,29,3,Technical Degree,4,4,Married,6261,3,1,7,Permanent,17,C,29,4
27,No,Research & Development,1,1,Technical Degree,3,1,Married,4298,5,3,2,Temp,8,B,24,8
49,No,Research & Development,18,4,Life Sciences,4,4,Divorced,6804,1,3,7,Temp,11,C,8,3
34,No,Research & Development,10,4,Medical,4,3,Divorced,3815,1,4,5,Permanent,18,C,3,6
40,No,Research & Development,19,2,Medical,3,4,Married,2741,8,4,7,Permanent,2,A,18,11
38,Yes,Research & Development,29,1,Medical,2,1,Married,6673,7,3,1,Permanent,23,D,11,14
29,Yes,Sales,27,3,Marketing,2,4,Married,7639,1,2,10,Temp,17,A,22,9
22,No,Research & Development,5,3,Life Sciences,4,2,Divorced,2328,1,2,4,Permanent,4,A,24,1
36,No,Research & Development,18,1,Medical,2,4,Single,2153,1,3,8,Permanent,25,D,13,4
40,No,Research & Development,9,5,Life Sciences,4,4,Married,4876,9,1,3,Temp,21,B,9,9
46,No,Research & Development,1,4,Medical,4,1,Divorced,9396,7,3,4,Permanent,9,A,17,7
32,Yes,Sales,4,4,Medical,4,4,Married,10400,1,2,14,Permanent,2,D,15,11
30,No,Research & Development,1,1,Life Sciences,3,3,Single,8474,1,3,11,Temp,25,C,13,4
27,No,Sales,20,3,Life Sciences,4,3,Single,9981,1,3,7,Temp,25,D,4,4
51,No,Research & Development,8,4,Life Sciences,2,2,Married,12490,5,1,10,Temp,16,B,1,6
30,Yes,Research & Development,3,3,Technical Degree,4,1,Single,2657,5,3,5,Permanent,19,B,15,5
41,No,Sales,6,3,Life Sciences,4,4,Single,13591,3,3,1,Permanent,2,D,2,3
30,Yes,Sales,26,4,Marketing,3,1,Single,6696,5,2,6,Permanent,7,D,2,11
29,Yes,Research & Development,1,3,Technical Degree,3,3,Single,2058,0,2,6,Permanent,7,D,19,0
45,No,Sales,6,3,Medical,4,4,Single,8865,6,3,19,Permanent,2,B,20,16
54,No,Sales,3,3,Marketing,4,1,Married,5940,2,3,6,Permanent,13,D,22,12
36,No,Research & Development,5,2,Life Sciences,4,2,Single,5914,8,4,13,Permanent,24,B,6,10
33,No,Research & Development,4,4,Medical,3,2,Married,2622,6,3,3,Temp,18,A,28,9
37,No,Research & Development,11,3,Other,2,4,Divorced,12185,1,3,10,Permanent,7,C,24,8
38,No,Sales,3,3,Life Sciences,1,3,Divorced,10609,0,2,16,Permanent,2,D,10,9
31,No,Research & Development,1,4,Medical,3,3,Married,4345,0,3,5,Permanent,16,B,11,2
59,No,Research & Development,3,3,Life Sciences,3,4,Married,2177,3,3,1,Permanent,18,D,7,7
37,No,Sales,4,4,Marketing,1,4,Divorced,2793,4,3,9,Permanent,13,C,19,10
29,No,Sales,1,1,Medical,2,4,Married,7918,1,3,11,Permanent,8,D,20,10
35,No,Sales,1,3,Marketing,3,3,Single,8789,1,4,10,Temp,8,D,6,9
29,Yes,Research & Development,18,1,Medical,3,4,Single,2389,1,2,4,Temp,7,A,3,1
52,No,Research & Development,2,3,Life Sciences,3,4,Single,3212,7,2,2,Temp,4,D,13,15
42,No,Research & Development,4,2,Technical Degree,3,4,Married,19232,1,3,22,Permanent,23,B,4,7
59,No,Human Resources,6,2,Medical,2,3,Married,2267,8,2,2,Permanent,7,C,12,11
50,No,Sales,1,4,Medical,4,4,Divorced,19517,3,2,7,Temp,10,A,22,3
33,Yes,Research & Development,14,3,Medical,3,4,Married,2436,5,1,5,Permanent,6,C,21,15
43,No,Sales,16,3,Marketing,4,4,Married,16064,5,3,17,Permanent,11,A,13,11
33,Yes,Research & Development,2,2,Life Sciences,1,1,Married,2707,7,4,9,Permanent,9,D,15,15
52,No,Sales,2,4,Life Sciences,1,3,Single,19068,1,4,33,Permanent,19,A,0,5
32,No,Sales,4,2,Life Sciences,3,2,Married,3931,2,3,4,Temp,22,A,29,4
32,Yes,Research & Development,1,3,Life Sciences,4,3,Single,3730,0,1,3,Permanent,13,D,29,4
39,No,Research & Development,1,4,Medical,3,3,Divorced,2232,7,3,3,Permanent,20,A,21,12
32,No,Sales,26,4,Marketing,3,4,Married,4465,0,3,3,Permanent,13,B,25,7
41,No,Research & Development,19,2,Life Sciences,3,1,Divorced,3072,2,2,1,Permanent,22,A,23,8
40,No,Research & Development,24,2,Technical Degree,1,4,Divorced,3319,1,3,9,Permanent,4,A,4,2
45,No,Research & Development,1,3,Other,3,4,Married,19202,0,3,24,Permanent,13,B,7,5
31,No,Research & Development,3,4,Medical,2,3,Divorced,13675,9,3,2,Temp,17,D,11,13
33,No,Research & Development,5,4,Life Sciences,3,4,Married,2911,1,2,2,Permanent,13,A,6,1
34,No,Research & Development,2,4,Life Sciences,4,1,Married,5957,6,3,11,Permanent,11,C,2,15
37,No,Research & Development,1,2,Medical,3,1,Married,3920,2,2,3,Permanent,10,B,20,5
45,No,Research & Development,7,4,Life Sciences,1,3,Married,6434,4,3,3,Permanent,24,B,7,8
37,Yes,Research & Development,10,3,Medical,1,3,Divorced,10048,6,3,1,Permanent,9,D,12,13
39,No,Research & Development,2,4,Technical Degree,3,3,Single,10938,0,3,19,Permanent,12,C,6,1
29,No,Research & Development,15,3,Life Sciences,3,4,Single,2340,1,3,6,Permanent,9,B,22,11
42,No,Research & Development,17,2,Life Sciences,4,1,Single,6545,3,3,3,Permanent,3,D,21,6
29,No,Sales,20,2,Marketing,4,4,Divorced,6931,2,3,3,Permanent,21,A,18,5
25,No,Research & Development,1,3,Life Sciences,1,3,Married,4898,0,3,4,Permanent,22,A,14,8
42,No,Research & Development,2,3,Medical,4,1,Divorced,2593,0,3,9,Permanent,15,C,6,1
40,No,Research & Development,2,2,Medical,1,3,Divorced,19436,0,3,21,Permanent,12,C,20,10
51,No,Research & Development,1,3,Life Sciences,3,4,Married,2723,1,2,1,Permanent,13,C,13,6
31,Yes,Research & Development,29,2,Medical,3,2,Single,3479,0,4,5,Temp,18,C,12,4
32,No,Research & Development,7,3,Life Sciences,2,2,Married,2794,1,1,5,Permanent,16,A,15,1
38,No,Sales,2,2,Life Sciences,4,4,Married,5249,3,3,8,Permanent,9,C,29,13
32,No,Research & Development,2,1,Technical Degree,4,1,Single,2176,4,3,6,Permanent,19,B,15,10
46,No,Sales,2,3,Technical Degree,3,2,Married,16872,3,2,7,Temp,14,A,21,5
28,Yes,Research & Development,2,4,Life Sciences,1,3,Single,3485,2,1,0,Permanent,23,B,21,6
29,No,Sales,2,3,Medical,1,2,Married,6644,2,3,0,Permanent,14,A,18,9
31,No,Research & Development,23,3,Medical,2,4,Married,5582,0,3,9,Permanent,5,D,23,8
25,No,Research & Development,5,2,Life Sciences,2,1,Divorced,4000,1,3,6,Permanent,7,C,0,11
45,No,Research & Development,20,2,Medical,3,4,Married,13496,0,3,20,Permanent,7,D,25,4
36,No,Research & Development,6,3,Life Sciences,4,4,Married,3210,0,3,15,Permanent,20,B,21,7
55,No,Research & Development,1,3,Medical,4,1,Single,19045,0,3,36,Permanent,23,A,15,7
47,Yes,Research & Development,29,4,Life Sciences,1,2,Married,11849,1,2,10,Permanent,15,A,22,7
28,No,Research & Development,9,3,Medical,4,4,Married,2070,1,2,5,Temp,5,B,12,2
37,No,Sales,6,4,Medical,3,4,Married,6502,4,4,5,Permanent,21,B,2,6
21,No,Research & Development,3,2,Medical,4,3,Single,3230,1,4,3,Permanent,2,D,22,3
37,No,Research & Development,1,4,Medical,1,4,Divorced,13603,2,3,5,Temp,18,C,24,6
35,No,Research & Development,22,3,Life Sciences,2,2,Divorced,11996,7,2,7,Permanent,10,B,29,10
38,No,Sales,7,2,Medical,1,1,Divorced,5605,1,3,8,Permanent,16,C,1,8
26,No,Research & Development,1,3,Life Sciences,3,2,Divorced,6397,1,1,6,Temp,18,A,15,4
50,No,Research & Development,4,1,Life Sciences,1,2,Divorced,19144,3,2,10,Permanent,16,A,22,7
53,No,Research & Development,3,4,Medical,3,3,Married,17584,3,2,5,Temp,21,C,21,8
42,No,Sales,1,1,Life Sciences,2,3,Married,4907,1,3,20,Permanent,9,D,2,10
